iter	Passed	Remaining
408	4948	2915
409	4961	2904
410	4973	2891
411	4986	2880
412	4997	2867
413	5009	2855
414	5022	2844
415	5034	2831
416	5045	2819
417	5057	2806
418	5071	2795
419	5082	2783
420	5096	2772
421	5107	2759
422	5120	2747
423	5132	2735
424	5144	2723
425	5155	2711
426	5168	2699
427	5181	2687
428	5194	2675
429	5205	2663
430	5217	2651
431	5229	2638
432	5241	2626
433	5253	2614
434	5267	2603
435	5280	2591
436	5291	2579
437	5303	2566
438	5314	2554
439	5327	2542
440	5339	2530
441	5351	2518
442	5363	2506
443	5376	2494
444	5389	2482
445	5401	2470
446	5413	2458
447	5425	2446
448	5437	2434
449	5449	2421
450	5461	2409
451	5472	2397
452	5484	2384
453	5496	2373
454	5508	2360
455	5521	2348
456	5534	2337
457	5545	2324
458	5557	2312
459	5571	2301
460	5583	2289
461	5597	2277
462	5610	2265
463	5622	2254
464	5635	2241
465	5648	2230
466	5660	2218
467	5672	2206
468	5684	2193
469	5698	2182
470	5712	2171
471	5725	2159
472	5738	2147
473	5750	2135
474	5763	2123
475	5777	2112
476	5790	2100
477	5801	2087
478	5813	2075
479	5827	2063
480	5840	2052
481	5853	2040
482	5866	2028
483	5879	2016
484	5892	2004
485	5906	1993
486	5920	1981
487	5933	1969
488	5947	1958
489	5957	1945
490	5971	1933
491	5984	1921
492	5997	1909
493	6008	1897
494	6021	1885
495	6033	1873
496	6046	1861
497	6058	1849
498	6071	1837
499	6083	1824
500	6094	1812
501	6105	1800
502	6118	1788
503	6132	1776
504	6147	1765
505	6162	1753
506	6174	1741
507	6187	1729
508	6199	1717
509	6210	1704
510	6221	1692
511	6234	1680
512	6246	1668
513	6259	1656
514	6270	1643
515	6283	1631
516	6294	1619
517	6307	1607
518	6318	1594
519	6332	1583
520	6344	1570
521	6356	1558
522	6370	1546
523	6383	1534
524	6396	1523
525	6407	1510
526	6420	1498
527	6432	1486
528	6443	1473
529	6455	1461
530	6469	1449
531	6482	1437
532	6494	1425
533	6506	1413
534	6518	1401
535	6531	1389
536	6542	1376
537	6554	1364
538	6566	1352
539	6577	1339
540	6588	1327
541	6601	1315
542	6613	1303
543	6625	1291
544	6637	1278
545	6649	1266
546	6661	1254
547	6674	1242
548	6687	1230
549	6698	1217
550	6710	1205
551	6721	1193
552	6733	1181
553	6744	1168
554	6758	1156
555	6773	1145
556	6785	1132
557	6799	1120
558	6811	1108
559	6823	1096
560	6835	1084
561	6848	1072
562	6859	1059
563	6871	1047
564	6884	1035
565	6896	1023
566	6909	1011
567	6921	999
568	6933	986
569	6944	974
570	6957	962
571	6970	950
572	6982	938
573	6994	926
574	7007	914
575	7018	901
576	7030	889
577	7042	877
578	7055	865
579	7067	853
580	7078	840
581	7090	828
582	7102	816
583	7113	803
584	7124	791
585	7136	779
586	7148	767
587	7160	754
588	7170	742
589	7182	730
590	7192	718
591	7204	705
592	7216	693
593	7229	681
594	7243	669
595	7254	657
596	7267	645
597	7280	633
598	7292	620
599	7304	608
600	7316	596
601	7328	584
602	7340	572
603	7353	560
604	7366	547
605	7379	535
606	7392	523
607	7404	511
608	7417	499
609	7431	487
610	7443	475
611	7456	462
612	7469	450
613	7483	438
614	7497	426
615	7508	414
616	7519	402
617	7530	389
618	7543	377
619	7555	365
620	7567	353
621	7579	341
622	7592	329
623	7605	316
624	7617	304
625	7629	292
626	7641	280
627	7653	268
628	7666	255
629	7678	243
630	7689	231
631	7702	219
632	7714	207
633	7725	194
634	7737	182
635	7748	170
636	7760	158
637	7772	146
638	7785	134
639	7798	121
640	7812	109
641	7824	97
642	7837	85
643	7849	73
644	7863	60
645	7875	48
646	7888	36
647	7899	24
648	7913	12
649	7926	0
