iter	Logloss
0	0.5183757386
1	0.4185307761
2	0.3426762676
3	0.295523613
4	0.2611435476
5	0.2374790587
6	0.2201116255
7	0.2070802734
8	0.1967590415
9	0.188080494
10	0.1811824297
11	0.173680011
12	0.1684235222
13	0.1640812221
14	0.1604239293
15	0.1565357721
16	0.1535681862
17	0.1510846702
18	0.1481533239
19	0.1459570177
20	0.1439549369
21	0.1412507328
22	0.1395129591
23	0.1377831918
24	0.1362625605
25	0.1348960416
26	0.1337592768
27	0.1325826472
28	0.1312183247
29	0.1300874772
30	0.1288420836
31	0.1279496459
32	0.1269152548
33	0.1256534314
34	0.1244743589
35	0.1236920964
36	0.1229722709
37	0.121755868
38	0.1210028282
39	0.1203233196
40	0.119705197
41	0.1187395472
42	0.1181839155
43	0.1175068992
44	0.11704791
45	0.1158906732
46	0.1152868925
47	0.1149379325
48	0.1144134925
49	0.1138022198
50	0.1132579997
51	0.1126733759
52	0.1119616921
53	0.1113575319
54	0.1105184466
55	0.1100721284
56	0.1095926847
57	0.1091027278
58	0.1087515229
59	0.1084542572
60	0.1080485633
61	0.1075119531
62	0.1071875194
63	0.1069639131
64	0.1066926392
65	0.1063621129
66	0.1060418329
67	0.1053550217
68	0.104995787
69	0.1044474622
70	0.1040958342
71	0.1038554461
72	0.1035736661
73	0.1030649379
74	0.1027550213
75	0.1023464183
76	0.102036176
77	0.1017582508
78	0.1013218982
79	0.1010499283
80	0.100757157
81	0.1005432633
82	0.1001613422
83	0.09995945233
84	0.09956777996
85	0.0991615829
86	0.098947029
87	0.0987654302
88	0.09850192655
89	0.09821482549
90	0.09799926088
91	0.09782351723
92	0.09758909844
93	0.09742504004
94	0.09710804947
95	0.09683856387
96	0.09659090605
97	0.09644435468
98	0.09628654919
99	0.09609523895
100	0.09583045533
101	0.09565065506
102	0.09550543559
103	0.09532443398
104	0.09509662825
105	0.09495200523
106	0.09463798787
107	0.09433005827
108	0.09408802424
109	0.09389658866
110	0.09359824837
111	0.09347656339
112	0.0932632003
113	0.09314983979
114	0.09290783858
115	0.09267621236
116	0.09252512557
117	0.09237365009
118	0.09211757208
119	0.09202389856
120	0.09182083678
121	0.0916939377
122	0.09155116338
123	0.09139723961
124	0.09120483965
125	0.09108676095
126	0.09091107026
127	0.09073562098
128	0.0905458138
129	0.09029083732
130	0.09009699377
131	0.08994092867
132	0.08980072023
133	0.08957923083
134	0.08948138178
135	0.08935457794
136	0.08916425573
137	0.08901501482
138	0.0888264893
139	0.08869974565
140	0.08844483354
141	0.08835575378
142	0.08821739553
143	0.08811123074
144	0.08790069525
145	0.08764798547
146	0.08754560421
147	0.08741767917
148	0.08720174274
149	0.08704517519
150	0.08674210357
151	0.0865993819
152	0.0864806539
153	0.08635983979
154	0.0862016118
155	0.08603964474
156	0.08587046292
157	0.08571612331
158	0.08553965295
159	0.08538104996
160	0.08521993227
161	0.08508809756
162	0.08494308285
163	0.08484977532
164	0.08476083041
165	0.08468352077
166	0.08454970376
167	0.08442687042
168	0.08432141803
169	0.0841751797
170	0.0840033193
171	0.0838502985
172	0.08375859768
173	0.08363043848
174	0.08341065313
175	0.08326032088
176	0.08317271536
177	0.08307148375
178	0.08296002028
179	0.08287362547
180	0.08277813538
181	0.08261261144
182	0.08246863387
183	0.08238142143
184	0.08228250606
185	0.08217801805
186	0.08205738498
187	0.08189873311
188	0.08180072083
189	0.08170410924
190	0.08161052987
191	0.08144733027
192	0.08129615742
193	0.08118084138
194	0.08107062443
195	0.08096654936
196	0.08087656009
197	0.0807769185
198	0.08071106051
199	0.08061925363
200	0.08052148252
201	0.0804294516
202	0.08034140435
203	0.08026189715
204	0.08017676784
205	0.08000665599
206	0.07990894878
207	0.07976652696
208	0.07967032261
209	0.07956028702
210	0.07945512514
211	0.07938824812
212	0.07926848891
213	0.07914778015
214	0.07903525429
215	0.07891484146
216	0.07883716073
217	0.07868254883
218	0.07861390941
219	0.07851732658
220	0.07844711904
221	0.07831732639
222	0.07824524747
223	0.07815237184
224	0.07802239585
225	0.07794731998
226	0.07784985845
227	0.07778234322
228	0.07770471258
229	0.07763385101
230	0.07756170867
231	0.07750002701
232	0.07742081355
233	0.07732827114
234	0.07726101786
235	0.07720422338
236	0.07713345762
237	0.07702425233
238	0.07694727609
239	0.07683698868
240	0.07675789097
241	0.0766912778
242	0.07656221139
243	0.07642269305
244	0.07630185353
245	0.0762080623
246	0.07615122795
247	0.07608549141
248	0.07601720222
249	0.07593259148
250	0.07582678596
251	0.07571340516
252	0.07554560567
253	0.07543968847
254	0.07535170041
255	0.07524013868
256	0.07517318349
257	0.07504423882
258	0.07496915778
259	0.0748678246
260	0.07476517029
261	0.07467741889
262	0.07461052037
263	0.07455965742
264	0.07440616121
265	0.0742803597
266	0.0742329392
267	0.07413778899
268	0.07407081282
269	0.07400060104
270	0.07389440852
271	0.07380017795
272	0.07375759464
273	0.07367057807
274	0.07359587192
275	0.07354060415
276	0.07347971627
277	0.07343219419
278	0.07338813821
279	0.07333688704
280	0.07326649277
281	0.07321449221
282	0.07313269095
283	0.07308263056
284	0.07299120928
285	0.07294218426
286	0.07287570529
287	0.07281283305
288	0.07275904233
289	0.07265083972
290	0.07257643575
291	0.07247857381
292	0.07239028671
293	0.07231284135
294	0.07224860234
295	0.07219808536
