iter	Logloss
0	0.5583734211
1	0.4633256887
2	0.3955891287
3	0.3493325927
4	0.3134798897
5	0.286179467
6	0.2666356941
7	0.250499305
8	0.2389638639
9	0.2299425711
10	0.221812192
11	0.2159273325
12	0.2113274084
13	0.2062248885
14	0.202474324
15	0.198368458
16	0.1955951872
17	0.1925523371
18	0.1899714976
19	0.1881912976
20	0.1865052474
21	0.1846755227
22	0.1829081563
23	0.1814157805
24	0.1799507357
25	0.1786296761
26	0.17770613
27	0.1767571544
28	0.1756372647
29	0.1745782708
30	0.1739438653
31	0.1731765715
32	0.1716467369
33	0.1703965
34	0.1695318021
35	0.1687969031
36	0.1679394813
37	0.1670295915
38	0.1664351677
39	0.1659325538
40	0.1655044918
41	0.1651979655
42	0.1645149129
43	0.1639164672
44	0.163144932
45	0.1624047679
46	0.1614889915
47	0.1608615147
48	0.1600140929
49	0.1596185355
50	0.1590121373
51	0.1583942035
52	0.1578627778
53	0.157660895
54	0.1566461424
55	0.1562172578
56	0.1558543695
57	0.1551659056
58	0.1546275147
59	0.1541198001
60	0.1538043524
61	0.1533961077
62	0.1531291243
63	0.1529090422
64	0.1523600663
65	0.1517682293
66	0.1514366847
67	0.1510668312
68	0.1507739246
69	0.1504323069
70	0.1501718134
71	0.1496805614
72	0.1492401686
73	0.1489153242
74	0.1486920428
75	0.1481378567
76	0.1477601512
77	0.1476022811
78	0.1471711205
79	0.1468719525
80	0.1466471446
81	0.1461678121
82	0.1460299786
83	0.1456711945
84	0.1454677211
85	0.1450655001
86	0.1449454819
87	0.1446277673
88	0.1444605371
89	0.1441901167
90	0.1439882613
91	0.1436131975
92	0.1434316803
93	0.1432242581
94	0.1429671193
95	0.1428005015
96	0.1425099441
97	0.1424330337
98	0.1421358858
99	0.1419141583
100	0.141794396
101	0.1416092499
102	0.1412393963
103	0.1410098627
104	0.1403439947
105	0.1399775232
106	0.1395472218
107	0.1391695804
108	0.1389439498
109	0.1386275789
110	0.1383089867
111	0.138026199
112	0.1379021314
113	0.1375097916
114	0.1369812727
115	0.1366185855
116	0.1364611999
117	0.1362171964
118	0.1359178638
119	0.135655661
120	0.1354659171
121	0.135245835
122	0.1349892903
123	0.1348862739
124	0.1345839066
125	0.134202618
126	0.1339542909
127	0.1336772618
128	0.1334542912
129	0.1332702785
130	0.1331416863
131	0.1329426096
132	0.1328201234
133	0.1326178292
134	0.1324568786
135	0.1322523815
136	0.1321269063
137	0.1318775828
138	0.1314763033
139	0.1312194205
140	0.1311481591
141	0.1310003256
142	0.130926194
143	0.1307848961
144	0.130641377
145	0.1305041833
146	0.130280783
147	0.1301741012
148	0.1300105729
149	0.1298346133
150	0.1295942661
151	0.1294248969
152	0.1292630414
153	0.1291192846
154	0.1290056375
155	0.1289165699
156	0.128777347
157	0.1286284897
158	0.1282545319
159	0.1280033255
160	0.1279506747
161	0.1278566162
162	0.1277156383
163	0.1276294774
164	0.1274515434
165	0.1272053278
166	0.1271348342
167	0.1270223114
168	0.1268947887
169	0.1267622385
170	0.1266353647
171	0.1263632259
172	0.1262742771
173	0.1261592406
174	0.1260153468
175	0.1257994968
176	0.1257290946
177	0.1255987382
178	0.1254798717
179	0.1252999084
180	0.1251302376
181	0.1250306947
182	0.1247439764
183	0.1246572671
184	0.1244452654
185	0.1242324959
186	0.1240817464
187	0.1239593516
188	0.1238108874
189	0.1237269386
190	0.1236342238
191	0.1235104305
192	0.1232994891
193	0.1232164179
194	0.123030833
195	0.122972716
196	0.122772707
197	0.1225516651
198	0.1224240509
199	0.1222225885
200	0.1220958792
201	0.1218544991
202	0.1217091793
203	0.1215464737
204	0.1212479272
205	0.1209721322
206	0.1209086313
207	0.1208285034
208	0.1206813371
209	0.1204590612
210	0.1203064561
211	0.1201417762
212	0.120029811
213	0.1199226538
214	0.1197855058
215	0.1194883579
216	0.1193709814
217	0.1192198114
218	0.1190818865
219	0.1190170053
220	0.1189837695
221	0.1189505246
222	0.1188072888
223	0.1186698392
224	0.1184677186
225	0.1183849216
226	0.1181643824
227	0.1180605434
228	0.1179669237
229	0.1177915216
230	0.1176146387
231	0.117458158
232	0.1173463025
233	0.1172283958
234	0.117137171
235	0.1170402789
236	0.116919959
237	0.1167987525
238	0.1167192096
239	0.1166142097
240	0.1165413486
241	0.1164417326
242	0.116346623
243	0.1162352519
244	0.1160201241
245	0.1159037896
246	0.1157359469
247	0.1156432779
248	0.1155321993
249	0.1155004992
250	0.1154314498
251	0.1153143932
252	0.115154046
253	0.1149993386
254	0.1149273276
255	0.1148623277
256	0.1147347683
257	0.1146052529
258	0.1144058837
259	0.1143624651
260	0.1142299789
261	0.1141498967
262	0.11401667
263	0.1138964325
264	0.1138293758
265	0.1137785349
266	0.1137143393
267	0.1136657745
268	0.1134636722
269	0.1133001074
270	0.1131664055
271	0.1131314695
272	0.1130167529
273	0.1128528682
274	0.1127741388
275	0.1127297878
276	0.1126353272
277	0.1125558939
278	0.11246349
279	0.1123922743
280	0.1122976948
281	0.1122196967
282	0.1121181154
283	0.1118650442
284	0.1118202545
285	0.1117647975
286	0.1116670645
287	0.1115989658
288	0.1115347976
289	0.1113676771
290	0.1112853005
291	0.1112371653
292	0.1111256571
293	0.1110516169
294	0.1108443593
295	0.1107931619
296	0.1106939755
297	0.1106458311
298	0.1106127141
299	0.1104637928
300	0.1102768276
301	0.1101918368
302	0.1101215992
303	0.1099637657
304	0.1099085829
305	0.1098637749
306	0.1097382539
307	0.1096983179
308	0.1095804386
309	0.1095476416
310	0.1094176508
311	0.1093744424
312	0.109329086
313	0.1092397898
314	0.1091747625
315	0.1091042963
316	0.1089827333
317	0.1088300369
318	0.1087138669
319	0.1084842875
320	0.1082391963
321	0.1081024962
322	0.1079769204
323	0.1079112806
324	0.1078474415
325	0.1076831271
326	0.1076007871
327	0.1074380724
328	0.1073549463
329	0.1072646722
330	0.1072122042
331	0.1071334291
332	0.1070812719
333	0.1069779447
334	0.1068973232
335	0.1068196176
336	0.106709316
337	0.1066402393
338	0.1065896086
339	0.1065060437
340	0.1064323509
341	0.1063812997
342	0.1062925612
343	0.1061162085
344	0.1060165468
345	0.1059265925
346	0.1058474152
